studentikoos	studentikoze
dwarsgetuigd	dwarsgetuigde
loggergetuigd	loggergetuigde
effectief	effectieve
Parmezaans	
tensioactief	tensioactieve
eigenzinnig	eigenzinnige
Beiers	
preliminair	preliminaire
vort	
maximaal	maximale
Provençaals	Provençaalse
vagaal	vagale
speek	
laf	laffe
geroerd	
abrupt	abrupte
relevant	relevante
lef	
cyclisch	cyclische
bezorgd	
manifest	manifeste
secundair	
drachtig	drachtige
progressief	progressieve
systematisch	systematische
transcendent	transcendente
gedegen	gedegenste
theoretisch	theoretische
extreem	
frank	franke
Samoaans	
datief	
systemisch	systemische
complex	complexe
spastisch	spastische
Soemerisch	
lokaal	lokale
aanhankelijk	aanhankelijke
structureel	structurele
mentaal	mentale
permanent	permanente
Surinaams	
direct	directe
Veluws	
zwoel	zwoele
vilten	
Taiwanees	
boud	boude
anatomisch	anatomische
objectief	
jeugdig	jeugdige
nonchalant	nonchalante
joviaal	joviale
kaki	
positief	
brak	
ambetant	ambetante
Venetiaans	Venetiaanse
halfrond	
Genuees	
schier	
optimistisch	optimistische
heklastig	heklastige
steeds	steedse
subjectief	subjectieve
verwoed	verwoede
Romaans	Romaanse
skeletachtig	skeletachtige
mechanisch	mechanische
vogelvrij	vogelvrije
interactief	interactieve
ontzet	
welingelicht	
chai	
hoofdlettergevoelig	hoofdlettergevoelige
imperatief	
aangeschreven	
uniform	
aamborstig	aamborstige
vervelend	
courant	
peervormig	peervormige
jarig	jarige
metrisch	metrische
taalkundig	taalkundige
alpaca	
Kiribatisch	
jaloers	jaloerse
aimabel	aimabele
talentvol	talentvolle
taalarm	taalarme
lekker	lekkere
tegendraads	tegendraadse
gebalanceerd	
tegennatuurlijk	tegennatuurlijke
tegengesteld	
ongebalanceerd	ongebalanceerde
tegenovergesteld	tegenovergestelde
vooraanstaand	vooraanstaande
composiet	
tegenstrijdig	tegenstrijdige
wonder	
discretionair	discretionaire
dun	dunne
quadrupel	quadrupele
Comorees	
kordaat	kordate
uitmuntend	uitmuntende
geniaal	geniale
lens	
leuk	leuke
geheim	
ontroerend	ontroerende
adaxiaal	adaxiale
abaxiaal	abaxiale
Romeins	Romeinse
los	losse
fecaal	fecale
dement	demente
duizelig	duizelige
louche	louchere
anaeroob	anaerobe
ondiep	ondiepe
vaag	vage
zwaarlijvig	zwaarlijvige
doof	dove
decadent	
kil	
generiek	generieke
bang	bange
dom	
additief	
daags	daagse
proper	propere
nieuw	nieuwe
fier	fiere
correct	correcte
vrijgezel	
rins	rinse
terloops	terloopse
triplex	
pragmatisch	pragmatische
inclusief	
onzijdig	onzijdige
kantonnaal	kantonnale
vrouwelijk	vrouwelijke
lek	
jammer	
zwakzinnig	zwakzinnige
sneeuwblind	sneeuwblinde
ijdel	ijdele
wijs	wijze
knap	knappe
gerecht	
dor	dorre
gynaecologisch	gynaecologische
evenwijdig	evenwijdige
traag	trage
toxisch	toxische
cool	coole
vermaard	vermaarde
luid	luide
hypocriet	
recent	recente
dominant	
hees	hese
alfabetisch	alfabetische
wakker	wakkere
wreed	wrede
sterfelijk	sterfelijke
dik	dikke
ludiek	ludieke
vaak	
fris	frisse
wild	wilde
bereid	bereide
voorhanden	voorhanden (zijnde)
relatief	
hongerig	hongerige
categorisch	categorische
afgelopen	
veilig	veilige
vlug	vlugge
heet	hete
deskundig	deskundige
dapper	dappere
asymmetrisch	asymmetrische
vers	verse
schor	schorre
competent	competente
dicht	
bruikbaar	bruikbare
dodelijk	dodelijke
boos	boze
saai	saaie
wekelijks	wekelijkse
stil	stille
afkomstig	afkomstige
dras	drasse
dol	dolle
waard	
bepaald	
benauwd	
sterk	sterke
doorzichtig	doorzichtige
beschikbaar	beschikbare
behoorlijk	behoorlijke
zonnig	zonnige
efficiënt	efficiënte
woest	woeste
bezeten	
aanmerkelijk	aanmerkelijke
berekend	berekende
betrekkelijk	betrekkelijke
heilig	heilige
zorgeloos	zorgeloze
gelijk	
zilveren	
gehakt	
gehakt	
vast	vaste
lief	
zuinig	zuinige
Etruskisch	
waakzaam	waakzame
gewezen	
ruw	ruwe
senang	
veertigste	
vijftigste	
tachtigste	
zestigste	
zeventigste	
twintigste	
verleden	
negentigste	
karnemelks	karnemelkse
even	evenste
zuiver	zuivere
huidig	huidige
breedgebouwd	breedgebouwde
glad	gladde
fel	felle
breedgeschouderd	breedgeschouderde
kathedraal	
Andorrees	
onoverkomelijk	onoverkomelijke
halogeen	
ras	
pat	
zevende	
tegenwoordig	tegenwoordige
wee	
verwaarloosbaar	verwaarloosbare
vrij	vrije
negende	
zilverkleurig	zilverkleurige
dertigste	
stuk	
transparant	
pienter	pientere
kaal	kale
xenofiel	xenofiele
zilvergrijs	
puur	pure
tiende	
raak	rake
nut	
vacuüm	
interdisciplinair	interdisciplinaire
hard	harde
lucide	lucidere
terugblikkend	terugblikkende
polymeer	polymere
retrospectief	retrospectieve
tentatief	tentatieve
coherent	coherente
rancuneus	rancuneuze
navrant	navrante
comfortabel	comfortabele
gebruikelijk	gebruikelijke
sceptisch	sceptische
urologisch	urologische
druk	
Balinees	
organoleptisch	organoleptische
gehoorzaam	gehoorzame
falsifieerbaar	falsifieerbare
slap	slappe
dronken	dronkenste
verdrietig	verdrietige
organisch	organische
evenveel	
panhellenistisch	panhellenistische
eenzaam	eenzame
saillant	saillante
kunststof	
ruim	ruime
fraai	fraaie
Zaans	
eerste	
betalend	betalende
glorieus	
kostbaar	kostbare
anachronistisch	anachronistische
dadelijk	
repressief	repressieve
turquoise	
zot	zotte
gram	
sonoor	sonore
substantief	
hip	hippe
zwavelarm	zwavelarme
vriezend	vriezende
ideoplastisch	ideoplastische
fysioplastisch	fysioplastische
pluriform	pluriforme
meandrisch	meandrische
controversieel	controversiële
ges	
dubbel	dubbele
inkarnaat	inkarnate
infaam	infame
bodemloos	bodemloze
opportuun	opportune
gis	gisse
Austronesisch	
consonant	
scherp	scherpe
volmaakt	volmaakte
links	linkse
erg	erge
abject	abjecte
eenduidig	eenduidige
oerknal	
fors	forse
zoetgevooisd	zoetgevooisde
mollig	mollige
excellent	excellente
kleverig	kleverige
rijzig	rijzige
intrusief	intrusieve
gelijkaardig	gelijkaardige
tonsillair	tonsillaire
onbeweeglijk	onbeweeglijke
invloedrijk	invloedrijke
macroscopisch	macroscopische
zoel	zoele
onverbuigbaar	onverbuigbare
betaald	
lijdzaam	lijdzame
sinister	sinistere
enteraal	enterale
indeclinabel	indeclinabele
alkalien	alkaliene
ros	rosse
flegmatisch	flegmatische
oneven	onevenste
rot	rotte
spontaan	spontane
convergent	convergente
voornaam	
gegeven	
freudiaans	freudiaanse
divergent	divergente
platvloers	platvloerse
autistisch	autistische
euvel	
uiterlijk	
attributief	attributieve
geboren	
integraal	integrale
lomp	lompe
plantaardig	plantaardige
fit	fitte
vlak	vlakke
eerlijk	eerlijke
medeplichtig	medeplichtige
onverwachts	onverwachtse
eetbaar	eetbare
bovennatuurlijk	bovennatuurlijke
perfect	perfecte
gespannen	gespannenste
giftig	giftige
Kabylisch	
tam	tamme
meertalig	meertalige
zaadloos	zaadloze
gemeen	gemene
pluizig	pluizige
ideeëloos	ideeëloze
besluiteloos	besluiteloze
lenig	lenige
eiken	
amorf	amorfe
zat	zatte
kristallografisch	kristallografische
pittig	pittige
Gotisch	
wollen	
rubber	
schrander	schrandere
zenuwachtig	zenuwachtige
zomers	
schitterend	schitterende
feitelijk	feitelijke
waardig	waardige
mat	
netjes	(alleen
kras	
schuin	schuine
gezond	gezonde
gaaf	gave
verlopen	
Amsterdammer	
Zeeuws	
smakelijk	smakelijke
irritant	irritante
toe	
monoklien	monokliene
tweetallig	tweetallige
glazen	
enthousiast	enthousiaste
neogeen	
mydriatisch	mydriatische
vaal	vale
amfoteer	amfotere
quartair	
grappig	grappige
reciprook	reciproke
paleoceen	
orthorombisch	orthorombische
stellig	stellige
Belgisch	Belgische
destijds	
rabbig	rabbige
spierwit	spierwitte
onverwijld	onverwijlde
vergelijkbaar	vergelijkbare
gestoord	gestoorde
schaars	schaarse
makkelijk	makkelijke
slordig	slordige
incognito	
vuren	
cyrillisch	cyrillische
verbazingwekkend	verbazingwekkende
Santomees	
privé	privéëre
hevig	hevige
lamlendig	lamlendige
Germaans	
pijnlijk	pijnlijke
danig	danige
link	linke
schichtig	schichtige
dubieus	dubieuze
recalcitrant	recalcitrante
laaggeprijsd	laaggeprijsde
leugenachtig	leugenachtige
naadloos	naadloze
secuur	secure
roerloos	roerloze
spijtig	spijtige
vriendelijk	vriendelijke
spaarzaam	spaarzame
eenstemmig	eenstemmige
spoorloos	spoorloze
stomp	
gevangen	
psychedelisch	psychedelische
snik	
bedrieglijk	bedrieglijke
partieel	partiële
serieus	serieuze
leptosoom	leptosome
ordinair	ordinaire
enerverend	
raar	rare
smerig	smerige
stabiel	stabiele
soepel	soepele
meteorologisch	meteorologische
tevreden	tevredenste
zilverwit	zilverwitte
schijnbaar	schijnbare
geschubd	geschubde
smoor	
Thools	Thoolse
bokitoproof	
Dordts	Dordtse
overleden	
klimaatneutraal	klimaatneutrale
simpel	simpele
eenvoudig	eenvoudige
kalm	kalme
gering	geringe
feeëriek	feeërieke
gangbaar	gangbare
ambigu	ambigue
zwartgallig	zwartgallige
nietig	nietige
flauw	flauwe
aangehuwd	aangehuwde
aanbevelenswaard	aanbevelenswaardere
matineus	matineuze
sierlijk	sierlijke
aaneengeschakeld	aaneengeschakelde
naakt	naakte
aangelegd	aangelegde
aangestoken	
aangeknipt	
aangekleed	aangeklede
populair	populaire
aporetisch	aporetische
aangetekend	aangetekende
aangenomen	
aanhalerig	aanhalerige
facultatief	facultatieve
stug	(alleen
aangelegen	aangelegenste
geografisch	geografische
aanhorig	aanhorige
reticulair	reticulaire
zogenaamd	zogenaamde
zinloos	zinloze
vegetarisch	vegetarische
aanliggend	aanliggende
zuidwestelijk	zuidwestelijke
ongeacht	
aanlandig	aanlandige
flink	flinke
verkeerd	verkeerde
rauw	rauwe
zoutzuur	
zinnig	zinnige
aanminnig	aanminnige
plastic	
Roma	
aanpalend	aanpalende
somber	sombere
zielig	zielige
eens	(alleen
Koptisch	
aanstootgevend	aanstootgevende
light	
onontkoombaar	onontkoombare
z.g.a.n.	
verschrikkelijk	verschrikkelijke
aanvechtbaar	aanvechtbare
aanvoegend	aanvoegende
rein	reine
vigilant	vigilante
stiekem	stiekeme
goeiig	goeiige
roekeloos	roekeloze
religieus	religieuze
aardkundig	aardkundige
aartsbisschoppelijk	aartsbisschoppelijke
aardsgezind	aardsgezinde
schril	schrille
zeldzaam	zeldzame
bruut	
sportief	sportieve
onnozel	onnozele
duplex	
zouteloos	zouteloze
zoek	(alleen
zaagvormig	zaagvormige
slaperig	slaperige
zoutachtig	zoutachtige
symmetrisch	symmetrische
zult	
ongehoorzaam	ongehoorzame
instrumentaal	instrumentale
zemen	
seksueel	seksuele
aangewezen	
log	logge
lastig	lastige
achthoekig	achthoekige
vijandig	vijandige
autochtoon	
eunjer	
bijster	(alleen
square	
important	importante
dry	
maatschappelijk	maatschappelijke
short	
tof	toffe
heavy	heavyste
independent	independente
sympathiek	sympathieke
blood	blode
close	close*
bloedheet	bloedhete
different	differente
happy	happyste
aanstellerig	aanstellerige
pleite	
onbeleefd	onbeleefde
mobiel	mobiele
jammerlijk	jammerlijke
clean	cleane
potig	potige
rose	
stipt	stipte
nice	
down	
subject	
large	
safe	
knettergek	knettergekke
zelfstandig	zelfstandige
spannend	spannende
aanwijsbaar	aanwijsbare
weetgierig	weetgierige
computergestuurd	computergestuurde
vruchtbaar	vruchtbare
elastieken	
waaierig	waaierige
onmerkbaar	onmerkbare
ready	readyste
kitscherig	kitscherige
raadselachtig	raadselachtige
meat	
dorper	
portable	
archaïsch	archaïsche
heus	heuse
aangepast	
pc	
high	
onstuimig	onstuimige
beigebruin	
beigegrijs	
aardbeirood	
later	latere
agaatgrijs	
notenbruin	
parelmoermuisgrijs	
antracietgrijs	
beigerood	
soft	softe
katabool	katabole
zwavelgeel	
matig	matige
aanspreekbaar	aanspreekbare
turkooisgroen	
blut	(blutte)
kwistig	kwistige
abominabel	
zinkgeel	
forensisch	forensische
ovaal	ovale
saffraangeel	
debiel	
pasteloranje	
amarillo	
koninklijk	koninklijke
zijden	
moedeloos	moedeloze
gelovig	gelovige
paarsgewijs	paarsgewijze
kristallijn	
heimelijk	heimelijke
spraakzaam	spraakzame
winderig	winderige
sneeuwwit	
seniel	seniele
ambivalent	ambivalente
pindakaas	
unaniem	unanieme
abondant	abondante
Oudegyptisch	
koppig	koppige
abundant	abundante
duifblauw	
fleece	
fly	
exact	exacte
geüpdatet	
oudroze	
Groenlands	
ongemakkelijk	ongemakkelijke
chroomoxidegroen	
waardeloos	waardeloze
achtergebleven	achtergeblevenste
waardevol	waardevolle
Moldavisch	
formeel	
hedendaags	hedendaagse
beschrijvend	
gezocht	
uitgerekend	
oppervlakkig	oppervlakkige
oorspronkelijk	oorspronkelijke
scheldend	
geschat	
begrijpend	
afgebakend	afgebakende
fabelachtig	fabelachtige
afgebeeld	
overvloedig	overvloedige
gezonken	
verzekerd	verzekerde
zwervend	
preuts	preutse
bleek	bleke
aantoonbaar	aantoonbare
nerveus	nerveuze
copieus	copieuze
stevig	stevige
puistig	puistige
verwezen	
besneeuwd	besneeuwde
regenachtig	regenachtige
uitsluitend	uitsluitende
intransitief	intransitieve
klaarblijkelijk	klaarblijkelijke
treffend	
moedig	moedige
regressief	regressieve
aanvaardbaar	aanvaardbare
bezittend	
evident	evidente
smeltend	
woedend	woedende
aangesteld	
keihard	keiharde
lijdelijk	lijdelijke
drastisch	drastische
heuvelachtig	heuvelachtige
absorberend	absorberende
geopend	
azuurblauw	
gegarandeerd	
from	fromme
logisch	logische
toegevoegd	
overgebleven	
opgelost	
verheugend	
ziedend	ziedende
nasty	nastyste
violent	violente
kapot	kapotte
gedroogd	
meigroen	
nuchter	nuchtere
achterhaald	achterhaalde
heftig	heftige
bewezen	
enorm	enorme
gedaan	gedane
geleidelijk	geleidelijke
cruciaal	cruciale
uitmiddelpuntig	uitmiddelpuntige
retro	
gesloten	
gedood	
voorlopig	voorlopige
verwijderd	verwijderde
gematigd	
verborgen	verborgenste
rijkelijk	rijkelijke
petrol	
mededeelzaam	mededeelzame
blijvend	blijvende
bedacht	
mopperig	mopperige
morsig	morsige
vloeibaar	vloeibare
middelpuntvliedend	middelpuntvliedende
trekkend	
nestvliedend	nestvliedende
misselijk	misselijke
gerookt	gerookte
gemaakt	
verloederd	verloederde
Punisch	
kwalijk	kwalijke
klankloos	klankloze
onaannemelijk	onaannemelijke
stekelig	stekelige
langwerpig	langwerpige
guur	gure
easy	
luw	luwe
zuiver oranje	
licht roodoranje	
kundig	kundige
wiskundig	wiskundige
prachtig	prachtige
gaar	gare
ergatief	
star	starre
gentiaanblauw	
zeeg	
hobbelig	hobbelige
krank	kranke
zweverig	zweverige
zwijgzaam	zwijgzame
ontwikkeld	ontwikkelde
olie-exporterend	olie-exporterende
zwevend	zwevende
zwierig	zwierige
Franeker	
homoseksueel	
Zwitsers	
zingend	
twee-eiig	twee-eiige
gastvrij	gastvrije
verkeersoranje	
zwartbont	zwartbonte
idiomatisch	idiomatische
dierbaar	dierbare
ideologisch	ideologische
gespeeld	
gekleed	
fair	faire
zwaartillend	zwaartillende
opgeruimd	
nach	
zwakbegaafd	zwakbegaafde
zwaarmoedig	zwaarmoedige
xenofobisch	xenofobische
xenofoob	
oké	
zachtzinnig	zachtzinnige
zachtaardig	zachtaardige
zaaddragend	zaaddragende
zaaddodend	zaaddodende
zwaargewond	zwaargewonde
yuppieachtig	yuppieachtige
zaakrijk	zaakrijke
zaakkundig	zaakkundige
zilt	zilte
voltallig	voltallige
zachtgekookt	zachtgekookte
magertjes	
zachtharig	zachtharige
gevarieerd	
zachtmoedig	zachtmoedige
zachtroze	
gedeeld	
knus	knusse
zachtgeel	
roepend	
vallend	vallende
luisterend	
dansend	
sluitend	sluitende
allochtoon	
ziend	ziende
behandelend	
hangend	
drukkend	drukkende
vragend	
liggend	
oplettend	
rennend	
springend	
dragend	
gekleurd	gekleurde
zachtgroen	
wordend	
hopend	
horend	
spelend	
zweterig	zweterige
dodend	
controlerend	
stekend	
vliegend	vliegende
corrigerend	
klimmend	
verscheurend	
fluitend	
voorkomend	
voorkomend	
rottend	
lachend	lachende
zoekend	zoekende
ruikend	
wakend	
staand	staande
reizend	reizende
helpend	
draaiend	draaiende
snurkend	
spuitend	
feestend	
werkend	
studerend	
lezend	
lerend	
passerend	
kloppend	
herstellend	
voorspellend	
wijzend	
scheppend	
geparkeerd	
verdergaand	
geknipt	
typerend	
wassend	
passend	
fulminant	fulminante
wetend	
ontwakend	
uitgaand	
denkend	
speurend	
wisselend	wisselende
verbazend	
knallend	
aantonend	
vergaand	vergaande
klagend	
draconisch	draconische
nadenkend	nadenkende
traditioneel	traditionele
idyllisch	idyllische
winnend	
geraakt	geraakte
Achterhoeks	
zaadvast	zaadvaste
straight	straighte
Drents	
onvervangbaar	onvervangbare
Maldivisch	
benen	
uiterst	uiterste
Haïtiaans	
vertrouwd	vertrouwde
bedekt	
juridisch	juridische
tweevoud	
gekookt	
zittend	
sprekend	
lopend	lopende
zwaarwichtig	zwaarwichtige
huilend	huilende
kokend	
rollend	
schreeuwend	
bestaand	
stinkend	
informeel	informele
zygomorf	zygomorfe
belangstellend	belangstellende
klam	klamme
zwijgend	zwijgende
valide	validere
verontschuldigend	
veren	
Oost-Vlaams	Oost-Vlaamse
subsidiair	subsidiaire
contingent	
brandend	brandende
schertsend	
zwaaiend	
efemeer	efemere
pejoratief	pejoratieve
doorgaand	
wettig	wettige
wezenlijk	wezenlijke
egaal	egale
zwaarwegend	zwaarwegende
lest	leste
slapend	
uitzonderlijk	uitzonderlijke
uitzonderlijk	uitzonderlijke
bruto	
vernietigend	vernietigende
boeiend	boeiende
misbaar	
schraal	schrale
decimaal	decimale
berekenend	
deugdelijk	deugdelijke
beslissend	
wettelijk	wettelijke
idiosyncratisch	idiosyncratische
gekeperd	
diagonaal	diagonale
wel	
bacteriofaag	
multidisciplinair	multidisciplinaire
constructief	constructieve
dissonant	
toegeeflijk	toegeeflijke
catastrofaal	catastrofale
duivels	
duf	duffe
capabel	capabele
Gronings	
zwakjes	
rechtstreeks	rechtstreekse
exterieur	exterieure
haploïd	haploïde
diploïd	diploïde
homozygoot	
egoïstisch	egoïstische
heterozygoot	
regelmatig	regelmatige
middeleeuws	middeleeuwse
idioot	idiote
vredig	vredige
gul	gulle
christelijk	christelijke
puberaal	puberale
boeglastig	boeglastige
saamhorig	saamhorige
kwetsbaar	kwetsbare
seduisant	seduisante
ecclesiastisch	ecclesiastische
neogotisch	neogotische
eschatologisch	eschatologische
braaf	brave
larmoyant	larmoyante
gelauwerd	gelauwerde
rooms-katholiek	rooms-katholieke
abstinent	abstinente
definitief	definitieve
ijl	ijle
signaaloranje	
bi	
gewijzigd	gewijzigde
gescratcht	gescratchte
gezuiverd	
sloom	slome
laxatief	laxatieve
blijkbaar	blijkbare
etherisch	etherische
geduldig	geduldige
neergelegd	neergelegde
brutaal	brutale
kenmerkend	kenmerkende
geoefend	
representatief	representatieve
academisch	academische
dociel	dociele
rommelig	rommelige
klimatologisch	klimatologische
Oegaritisch	
razend	razende
erudiet	erudiete
royaal	royale
gouden	
gewenst	
burgerlijk	burgerlijke
poco	
uitgekookt	
bucolisch	bucolische
chagrijnig	chagrijnige
gevolgd	
opgeklopt	
gezien	
waterig	waterige
biometrisch	biometrische
middelbaar	middelbare
beschermd	
ene	
vief	vieve
technisch	technische
onderzocht	onderzochte
gevraagd	
stuurloos	stuurloze
uitvoerig	uitvoerige
stapsgewijs	stapsgewijze
onderzoekend	
zelfrijzend	zelfrijzende
varend	
vegan	
buitengewoon	buitengewone
nabij	nabije
huichelachtig	huichelachtige
geluiddicht	geluiddichte
rationeel	rationele
opgewekt	
vaar	
vaar	
boosaardig	boosaardige
contigu	contigue
oostelijk	oostelijke
nep	neppe
gênant	gênante
uitgeput	
Aramees	
gekocht	
buiig	buiige
impulsief	impulsieve
koudbloedig	koudbloedige
ironisch	ironische
warmbloedig	warmbloedige
betreurenswaardig	betreurenswaardige
corpulent	corpulente
verstolen	verstolenste
tikkend	
flegmatiek	flegmatieke
fervent	fervente
getikt	
conform	conforme
textiel	textiele
getraind	
doelmatig	doelmatige
acceptabel	acceptabele
opgezet	
levend	levende
verscheiden	
content	contente
eender	eendere
crazy	crazyste
fanaat	
komend	
bleu	bleue
Pruisisch	
scalair	
bie	(alleen
hecht	hechte
moquette	
ongelimiteerd	ongelimiteerde
honderdste	
tenger	tengere
ijzeren	
flets	fletse
elfde	
vijftiende	
gedroomd	
zestiende	
mals	malse
slicht	
congestief	congestieve
Keuls	
muf	muffe
dogmatisch	dogmatische
antisemitisch	antisemitische
gezellig	gezellige
schamel	schamele
hardwerkend	hardwerkende
glijdend	
liefkozend	
prima	
twaalfde	
veertiende	
wereldvreemd	wereldvreemde
rijdend	
Maastrichts	Maastrichtse
leidend	
cash	
onderdanig	onderdanige
parmantig	parmantige
goedgeluimd	goedgeluimde
depressief	depressieve
eentonig	eentonige
offshore	
opaak	opake
mild	milde
eensgezind	eensgezinde
